timestamp,question,best_similarity_score
2026-07-04T17:42:56,What attendance percentage is required?,0.349
2026-07-04T17:42:56,Tell me tomorrow's weather.,0.074
2026-07-04T17:42:56,What's the required attendance percentage?,0.393
2026-07-04T17:42:56,How can I get money in the form of a scholarship?,0.297
2026-07-04T17:42:56,How do I get more time on an assessment?,0.37
2026-07-04T17:42:56,Tell me tomorrow's weather.,0.074
2026-07-04T17:42:56,What is the capital of France?,0.385
2026-07-04T17:42:56,Can you recommend a good pizza place?,0.188
2026-07-04T17:42:56,Write me a poem about the ocean.,0.183
2026-07-04T17:42:56,What's the score of last night's football game?,0.375
2026-07-04T23:19:08,What attendance percentage is required?,0.349
2026-07-04T23:19:08,Tell me tomorrow's weather.,0.074
2026-07-04T23:19:08,What's the required attendance percentage?,0.393
2026-07-04T23:19:08,How can I get money in the form of a scholarship?,0.297
2026-07-04T23:19:08,How do I get more time on an assessment?,0.37
2026-07-04T23:19:08,Tell me tomorrow's weather.,0.074
2026-07-04T23:19:08,What is the capital of France?,0.385
2026-07-04T23:19:08,Can you recommend a good pizza place?,0.188
2026-07-04T23:19:08,Write me a poem about the ocean.,0.183
2026-07-04T23:19:08,What's the score of last night's football game?,0.375
2026-07-04T23:26:38,what courses did this university study,0.234
2026-07-04T23:26:57,student score,0.103
2026-07-04T23:27:01,student,0.134
2026-07-04T23:59:00,What attendance percentage is required?,0.349
2026-07-04T23:59:00,Tell me tomorrow's weather.,0.074
2026-07-04T23:59:00,What's the required attendance percentage?,0.393
2026-07-04T23:59:00,How can I get money in the form of a scholarship?,0.297
2026-07-04T23:59:00,How do I get more time on an assessment?,0.37
2026-07-04T23:59:00,Tell me tomorrow's weather.,0.074
2026-07-04T23:59:00,What is the capital of France?,0.385
2026-07-04T23:59:00,Can you recommend a good pizza place?,0.188
2026-07-04T23:59:00,Write me a poem about the ocean.,0.183
2026-07-04T23:59:00,What's the score of last night's football game?,0.375
2026-07-05T00:30:56,What attendance percentage is required?,0.349
2026-07-05T00:30:56,Tell me tomorrow's weather.,0.074
2026-07-05T00:30:56,What's the required attendance percentage?,0.393
2026-07-05T00:30:56,How can I get money in the form of a scholarship?,0.297
2026-07-05T00:30:56,How do I get more time on an assessment?,0.37
2026-07-05T00:30:56,Tell me tomorrow's weather.,0.074
2026-07-05T00:30:56,What is the capital of France?,0.385
2026-07-05T00:30:56,Can you recommend a good pizza place?,0.188
2026-07-05T00:30:56,Write me a poem about the ocean.,0.183
2026-07-05T00:30:56,What's the score of last night's football game?,0.375
2026-07-05T00:54:43,university name,0.347
2026-07-05T01:03:21,university name,0.347
2026-07-05T01:03:50,what type of degree programs are offered,0.36
2026-07-05T03:20:50,is ncba hec verified,0.179
