resource_id,module,topic,difficulty,resource_type,title,description,url
R001,AAA,Classification,Beginner,Video,Introduction to Classification,A short video walking through the core ideas behind classification.,https://university-resources.example.edu/classification-video
R002,AAA,Classification,Intermediate,Tutorial,Step-by-Step Classification Tutorial,A guided tutorial that builds classification skills from scratch.,https://university-resources.example.edu/classification-tutorial
R003,AAA,Classification,Advanced,Book Chapter,Classification: A Deeper Look,An in-depth chapter-style reading on classification.,https://university-resources.example.edu/classification-book-chapter
R004,BBB,Regression,Beginner,Article,Understanding Regression,A written explanation covering the fundamentals of regression.,https://university-resources.example.edu/regression-article
R005,BBB,Regression,Intermediate,Quiz,Regression Self-Check Quiz,A short quiz to test your understanding of regression.,https://university-resources.example.edu/regression-quiz
R006,BBB,Regression,Advanced,Practice Exercise,Regression Practice Set,A set of practice problems to reinforce regression.,https://university-resources.example.edu/regression-practice-exercise
R007,CCC,Decision Trees,Beginner,Notebook,Hands-on Decision Trees Notebook,A Jupyter notebook with runnable code exploring decision trees.,https://university-resources.example.edu/decision-trees-notebook
R008,CCC,Decision Trees,Intermediate,Book Chapter,Decision Trees: A Deeper Look,An in-depth chapter-style reading on decision trees.,https://university-resources.example.edu/decision-trees-book-chapter
R009,CCC,Decision Trees,Advanced,Lecture Notes,Decision Trees Lecture Notes,Concise lecture notes summarizing decision trees for revision.,https://university-resources.example.edu/decision-trees-lecture-notes
R010,DDD,Model Evaluation,Beginner,Tutorial,Step-by-Step Model Evaluation Tutorial,A guided tutorial that builds model evaluation skills from scratch.,https://university-resources.example.edu/model-evaluation-tutorial
R011,DDD,Model Evaluation,Intermediate,Practice Exercise,Model Evaluation Practice Set,A set of practice problems to reinforce model evaluation.,https://university-resources.example.edu/model-evaluation-practice-exercise
R012,DDD,Model Evaluation,Advanced,Video,Introduction to Model Evaluation,A short video walking through the core ideas behind model evaluation.,https://university-resources.example.edu/model-evaluation-video
R013,AAA,Feature Engineering,Beginner,Quiz,Feature Engineering Self-Check Quiz,A short quiz to test your understanding of feature engineering.,https://university-resources.example.edu/feature-engineering-quiz
R014,AAA,Feature Engineering,Intermediate,Lecture Notes,Feature Engineering Lecture Notes,Concise lecture notes summarizing feature engineering for revision.,https://university-resources.example.edu/feature-engineering-lecture-notes
R015,AAA,Feature Engineering,Advanced,Article,Understanding Feature Engineering,A written explanation covering the fundamentals of feature engineering.,https://university-resources.example.edu/feature-engineering-article
R016,BBB,Data Cleaning,Beginner,Book Chapter,Data Cleaning: A Deeper Look,An in-depth chapter-style reading on data cleaning.,https://university-resources.example.edu/data-cleaning-book-chapter
R017,BBB,Data Cleaning,Intermediate,Video,Introduction to Data Cleaning,A short video walking through the core ideas behind data cleaning.,https://university-resources.example.edu/data-cleaning-video
R018,BBB,Data Cleaning,Advanced,Notebook,Hands-on Data Cleaning Notebook,A Jupyter notebook with runnable code exploring data cleaning.,https://university-resources.example.edu/data-cleaning-notebook
R019,CCC,Neural Networks,Beginner,Practice Exercise,Neural Networks Practice Set,A set of practice problems to reinforce neural networks.,https://university-resources.example.edu/neural-networks-practice-exercise
R020,CCC,Neural Networks,Intermediate,Article,Understanding Neural Networks,A written explanation covering the fundamentals of neural networks.,https://university-resources.example.edu/neural-networks-article
R021,CCC,Neural Networks,Advanced,Tutorial,Step-by-Step Neural Networks Tutorial,A guided tutorial that builds neural networks skills from scratch.,https://university-resources.example.edu/neural-networks-tutorial
R022,DDD,Clustering,Beginner,Lecture Notes,Clustering Lecture Notes,Concise lecture notes summarizing clustering for revision.,https://university-resources.example.edu/clustering-lecture-notes
R023,DDD,Clustering,Intermediate,Notebook,Hands-on Clustering Notebook,A Jupyter notebook with runnable code exploring clustering.,https://university-resources.example.edu/clustering-notebook
R024,DDD,Clustering,Advanced,Quiz,Clustering Self-Check Quiz,A short quiz to test your understanding of clustering.,https://university-resources.example.edu/clustering-quiz
R025,AAA,Time Management,Beginner,Video,Introduction to Time Management,A short video walking through the core ideas behind time management.,https://university-resources.example.edu/time-management-video
R026,AAA,Time Management,Intermediate,Tutorial,Step-by-Step Time Management Tutorial,A guided tutorial that builds time management skills from scratch.,https://university-resources.example.edu/time-management-tutorial
R027,AAA,Time Management,Advanced,Book Chapter,Time Management: A Deeper Look,An in-depth chapter-style reading on time management.,https://university-resources.example.edu/time-management-book-chapter
R028,BBB,Study Planning,Beginner,Article,Understanding Study Planning,A written explanation covering the fundamentals of study planning.,https://university-resources.example.edu/study-planning-article
R029,BBB,Study Planning,Intermediate,Quiz,Study Planning Self-Check Quiz,A short quiz to test your understanding of study planning.,https://university-resources.example.edu/study-planning-quiz
R030,BBB,Study Planning,Advanced,Practice Exercise,Study Planning Practice Set,A set of practice problems to reinforce study planning.,https://university-resources.example.edu/study-planning-practice-exercise
R031,CCC,Exam Preparation,Beginner,Notebook,Hands-on Exam Preparation Notebook,A Jupyter notebook with runnable code exploring exam preparation.,https://university-resources.example.edu/exam-preparation-notebook
R032,CCC,Exam Preparation,Intermediate,Book Chapter,Exam Preparation: A Deeper Look,An in-depth chapter-style reading on exam preparation.,https://university-resources.example.edu/exam-preparation-book-chapter
R033,CCC,Exam Preparation,Advanced,Lecture Notes,Exam Preparation Lecture Notes,Concise lecture notes summarizing exam preparation for revision.,https://university-resources.example.edu/exam-preparation-lecture-notes
R034,DDD,Natural Language Processing,Beginner,Tutorial,Step-by-Step Natural Language Processing Tutorial,A guided tutorial that builds natural language processing skills from scratch.,https://university-resources.example.edu/natural-language-processing-tutorial
R035,DDD,Natural Language Processing,Intermediate,Practice Exercise,Natural Language Processing Practice Set,A set of practice problems to reinforce natural language processing.,https://university-resources.example.edu/natural-language-processing-practice-exercise
R036,DDD,Natural Language Processing,Advanced,Video,Introduction to Natural Language Processing,A short video walking through the core ideas behind natural language processing.,https://university-resources.example.edu/natural-language-processing-video
R037,AAA,Recommendation Systems,Beginner,Quiz,Recommendation Systems Self-Check Quiz,A short quiz to test your understanding of recommendation systems.,https://university-resources.example.edu/recommendation-systems-quiz
R038,AAA,Recommendation Systems,Intermediate,Lecture Notes,Recommendation Systems Lecture Notes,Concise lecture notes summarizing recommendation systems for revision.,https://university-resources.example.edu/recommendation-systems-lecture-notes
R039,AAA,Recommendation Systems,Advanced,Article,Understanding Recommendation Systems,A written explanation covering the fundamentals of recommendation systems.,https://university-resources.example.edu/recommendation-systems-article
R040,BBB,Explainable AI,Beginner,Book Chapter,Explainable AI: A Deeper Look,An in-depth chapter-style reading on explainable ai.,https://university-resources.example.edu/explainable-ai-book-chapter
R041,BBB,Explainable AI,Intermediate,Video,Introduction to Explainable AI,A short video walking through the core ideas behind explainable ai.,https://university-resources.example.edu/explainable-ai-video
R042,BBB,Explainable AI,Advanced,Notebook,Hands-on Explainable AI Notebook,A Jupyter notebook with runnable code exploring explainable ai.,https://university-resources.example.edu/explainable-ai-notebook
R043,CCC,Probability Basics,Beginner,Practice Exercise,Probability Basics Practice Set,A set of practice problems to reinforce probability basics.,https://university-resources.example.edu/probability-basics-practice-exercise
R044,CCC,Probability Basics,Intermediate,Article,Understanding Probability Basics,A written explanation covering the fundamentals of probability basics.,https://university-resources.example.edu/probability-basics-article
R045,CCC,Probability Basics,Advanced,Tutorial,Step-by-Step Probability Basics Tutorial,A guided tutorial that builds probability basics skills from scratch.,https://university-resources.example.edu/probability-basics-tutorial
R046,DDD,Statistics for ML,Beginner,Lecture Notes,Statistics for ML Lecture Notes,Concise lecture notes summarizing statistics for ml for revision.,https://university-resources.example.edu/statistics-for-ml-lecture-notes
R047,DDD,Statistics for ML,Intermediate,Notebook,Hands-on Statistics for ML Notebook,A Jupyter notebook with runnable code exploring statistics for ml.,https://university-resources.example.edu/statistics-for-ml-notebook
R048,DDD,Statistics for ML,Advanced,Quiz,Statistics for ML Self-Check Quiz,A short quiz to test your understanding of statistics for ml.,https://university-resources.example.edu/statistics-for-ml-quiz
R049,AAA,Python Programming,Beginner,Video,Introduction to Python Programming,A short video walking through the core ideas behind python programming.,https://university-resources.example.edu/python-programming-video
R050,AAA,Python Programming,Intermediate,Tutorial,Step-by-Step Python Programming Tutorial,A guided tutorial that builds python programming skills from scratch.,https://university-resources.example.edu/python-programming-tutorial
