faq_id,category,question,answer,keywords,source
FAQ001,Admissions,How can I apply for admission?,Applications can be submitted through the university admission portal before the published deadline.,"admission,apply,portal",Admission Policy
FAQ002,Admissions,What documents are required for admission?,"Applicants must upload their transcripts, a copy of their national ID or passport, and passport-size photographs.","documents,admission,transcripts",Admission Policy
FAQ003,Admissions,Is there an admission test?,"Most undergraduate programs require an entry test, while some postgraduate programs require an interview instead.","test,interview,admission",Admission Policy
FAQ004,Admissions,What is the last date to apply?,Admission deadlines are published on the university website at the start of each intake and vary by program.,"deadline,apply,intake",Admission Policy
FAQ005,Admissions,Can I apply for more than one program?,"Applicants may apply for up to two programs in the same intake, subject to separate application fees.","multiple programs,apply",Admission Policy
FAQ006,Admissions,How do I check my admission status?,Admission status can be checked by logging into the applicant portal with your application ID.,"status,portal,application",Admission Policy
FAQ007,Admissions,Is admission merit-based?,Admission is offered based on a combined merit score of academic record and entry test performance.,"merit,admission,score",Admission Policy
FAQ008,Admissions,Can international students apply?,International students may apply through the international admissions office and must submit equivalence certificates.,"international,equivalence",Admission Policy
FAQ009,Admissions,What is the minimum eligibility criteria?,Applicants must have a minimum of 50 percent marks in their previous qualification to be eligible.,"eligibility,criteria,marks",Admission Policy
FAQ010,Admissions,Can I defer my admission to next semester?,Deferral requests are considered on a case-by-case basis and must be submitted before the semester start.,"defer,admission,semester",Admission Policy
FAQ011,Admissions,How do I get a transcript evaluation?,Transcript evaluation is done by the admissions office once official transcripts are received from the previous institution.,"transcript,evaluation",Admission Policy
FAQ012,Fee and Finance,Can I pay my fee in instalments?,Instalment requests are subject to approval from the finance office and are usually split into two payments per semester.,"fee,instalment,finance",Fee Policy
FAQ013,Fee and Finance,What happens if I miss the fee deadline?,"A late fee surcharge is applied after the due date, and access to the learning portal may be suspended.","late fee,deadline",Fee Policy
FAQ014,Fee and Finance,How can I pay my tuition fee?,"Tuition fees can be paid online through the student portal, via bank transfer, or at designated bank branches.","pay,tuition,bank",Fee Policy
FAQ015,Fee and Finance,Is the admission fee refundable?,The admission fee is non-refundable once the seat has been confirmed and the semester has started.,"refund,admission fee",Fee Policy
FAQ016,Fee and Finance,How do I get a fee receipt?,Fee receipts are automatically generated and available for download from the student finance dashboard.,"receipt,fee",Fee Policy
FAQ017,Fee and Finance,Are there fee concessions for siblings?,A sibling discount is available when two or more siblings are enrolled at the university at the same time.,"sibling,discount,concession",Fee Policy
FAQ018,Fee and Finance,What is the semester fee structure?,"Semester fees include tuition, examination, and library charges, and vary by program and credit hours.","fee structure,semester",Fee Policy
FAQ019,Fee and Finance,Can I get a fee waiver for financial hardship?,Students facing financial hardship may apply for a need-based fee waiver through the student affairs office.,"waiver,hardship,fee",Fee Policy
FAQ020,Fee and Finance,Will I be fined for late fee payment?,A fixed late payment fine is added for each week the payment remains overdue after the due date.,"fine,late payment",Fee Policy
